Alumno,Nota,Tipo_Examen
Alumno1,15.0,C
Alumno2,13.0,C
Alumno3,14.0,C
Alumno4,10.0,A
Alumno5,15.0,C
Alumno6,11.0,C
Alumno7,14.0,C
Alumno8,13.0,C
Alumno9,13.0,A
Alumno10,17.0,C
Alumno11,19.0,B
Alumno12,19.0,A
Alumno13,14.0,A
Alumno14,17.0,A
Alumno15,19.0,B
Alumno16,16.0,A
Alumno17,20.0,C
Alumno18,16.0,A
Alumno19,20.0,B
Alumno20,19.0,B
Alumno21,13.0,B
Alumno22,20.0,B
Alumno23,16.0,A
Alumno24,11.0,A
Alumno25,18.0,C
Alumno26,19.0,B
Alumno27,18.0,B
Alumno28,13.0,B
Alumno29,14.0,A
Alumno30,20.0,B
Alumno31,19.0,B
Alumno32,18.0,C
Alumno33,18.0,B
Alumno34,9.0,C
Alumno35,11.0,C
Alumno36,14.0,A
Alumno37,13.0,A
Alumno38,9.0,B
Alumno39,14.0,A
